1/Mean,Lapses,BPS,HRV,LF/HF,VLF,LF,HF
0.002696,7,1.474452212,0.084420524,0.65188943,1040.28801,1366.044822,2095.516141
0.002789,1,1.362943959,0.073709497,0.716727514,916.303309,1729.050107,2412.423234
0.0027,5,1.390754535,0.065645442,1.030314619,1746.874988,1443.716436,1401.238427
0.002857,3,1.296797223,0.067796138,0.893349228,1200.377439,2430.834201,2721.034645
0.002551,7,1.353169423,0.083258753,0.739501335,2265.5102,2163.147042,2925.14285
0.002655,10,1.460763296,0.063220241,0.814402956,1444.180274,1237.926362,1520.041587
0.002749,5,1.336343176,0.065706886,0.737155258,1002.813517,1916.434557,2599.770585
0.002732,4,1.182753907,0.07120314,0.322784879,666.4911647,803.3105579,2488.687079
0.002519,10,0.99100552,0.106250749,0.562804259,1565.095432,3423.818483,6083.497821
0.002508,10,1.108343044,0.090068441,1.088669452,2110.100371,3064.822033,2815.199809
0.002898,2,1.364051,0.081721,0.880222,2679.645,1865.437,2119.281
0.002779,3,1.314406,0.087481,1.349851,1964.064,3261.062,2415.869
0.002748,2,1.304144,0.093467,1.420099,1697.489,3865.81,2722.211
0.002626,4,1.596004,0.075562,1.457096,2101.915,2278.266,1563.566
0.002663,4,1.4593,0.049114,0.769342,539.2617,576.5986,749.4697
0.002631,5,1.280463,0.088907,0.636145,1358.55,2438.091,3832.603
0.00263,5,1.273521,0.116466,0.435113,1449.297,2848.207,6545.895
0.002507,11,1.320205,0.084792,0.82602,1459.968,1857.309,2248.503
0.002482,9,1.221433,0.114915,1.481428,1780.239,7142.805,4821.567
0.003032,1,1.553687,0.055362,1.954603,280.039,1155.612,591.2257
0.00308,2,1.447625,0.067714,1.646713,752.6298,2019.178,1226.187
0.00302,0,1.418459,0.060768,1.037221,771.1979,1832.625,1766.861
0.002962,2,1.404098,0.054873,1.676894,620.5812,1357.153,809.3254
0.002904,3,1.465382,0.043387,1.498203,289.7416,731.8643,488.4946
0.002888,3,1.454687,0.059954,1.259617,542.8722,1558.049,1236.923
0.002836,3,1.303098,0.061226,0.740393,1145.732,1335.94,1804.365
0.002748,7,1.268877,0.069273,0.925831,608.0846,1518.969,1640.655
0.002522,12,1.227244,0.091398,1.151486,2955.627,3303.419,2868.832
