File_1,File_2,File_3,File_4,File_5,File_6,File_7,File_8,File_9,File_10,File_11,File_12,File_13,File_14,File_15,File_16,File_17,File_18,File_19,File_20,File_21,File_22,File_23
0.8652,0.8049,0.8873,0.8841,0.7521,0.9157,0.7886,0.7576,0.7701,0.7943,0.7602,0.8489,0.6986,0.7323,0.8631,0.9186,0.9126,0.8084,0.9200,0.8872,0.7555,0.8271,0.7788
76.0864,74.7340,102.2764,37.9860,46.2570,76.4998,67.6544,53.6992,53.3964,53.1202,39.7522,19.2442,16.6007,58.4598,74.2300,59.7099,50.7900,62.1148,88.5127,48.4600,90.6196,61.9259,65.4525
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.8207,0.8073,0.9316,0.7974,0.7068,0.9123,0.7221,0.6736,0.8109,0.8554,0.7160,0.7191,0.8151,0.7727,0.8151,0.8196,0.9056,0.7454,0.8466,0.8269,0.7248,0.6721,0.8142
64.0306,115.0349,76.4852,99.8954,49.0660,127.1689,90.2413,88.3181,65.9970,75.8659,43.6606,32.1287,26.5425,38.4871,75.4561,47.5134,32.0020,53.3338,67.1580,57.2195,69.9824,64.3177,58.7031
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.7292,0.7803,0.8401,0.7297,0.8044,0.8777,0.6015,0.7144,0.7392,0.8215,0.6793,0.7018,0.8081,0.6812,0.8325,0.8861,0.7704,0.7111,0.8357,0.8954,0.7177,0.6672,0.6847
59.6704,76.6460,106.1041,26.2790,63.4543,47.0816,51.4607,66.5015,74.2593,41.0108,35.9538,36.0338,19.2362,46.7912,67.0133,50.2112,47.5386,55.4684,83.7981,63.8450,82.7555,49.2504,76.4885
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.7184,0.7767,0.7738,0.5620,0.8221,0.8580,0.5832,0.6888,0.7125,0.7173,0.7550,0.8186,0.5297,0.7398,0.8452,0.8986,0.7673,0.7483,0.8361,0.8372,0.6971,0.8459,0.8010
69.6700,109.8327,17.7517,58.5114,43.4781,98.5533,16.3375,72.2376,27.7117,38.5819,55.0170,31.2878,8.0407,45.8293,66.3820,81.7510,44.2213,75.4829,24.5790,81.4863,61.7667,86.3643,72.1221
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.5843,0.7899,0.8803,0.8375,0.8357,0.9090,0.7419,0.6711,0.6883,0.7737,0.7470,0.7995,0.7109,0.6840,0.8020,0.8498,0.8054,0.7563,0.8396,0.9008,0.7681,0.8013,0.8735
23.2402,98.8371,120.0166,72.1110,41.5754,82.2191,43.8368,65.0869,39.9345,41.6025,39.8969,50.1014,7.1260,34.8991,86.0555,62.5387,32.9642,99.2991,48.1329,70.2916,77.6015,95.4275,66.3060
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
























































































































































































































































































































































































































































